trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
44,0,44,0,130.48002989999804,131.47899529999995,131.47899529999995,down,1,0.6055653999974311,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
45,0,45,0,132.11163840000154,133.1109007999985,133.1109007999985,up,0,0.5581092999964312,1,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
46,0,46,0,133.69395950000035,134.6927074999985,134.70933030000015,down,1,0.6917266999989806,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
47,0,47,0,135.40858369999842,136.4078507999984,136.4078507999984,down,1,0.8111060999981419,4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
48,0,48,0,137.24058090000108,138.23943449999933,138.25603150000097,up,1,0.6223399999980757,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
49,0,49,0,138.8889893000014,139.8878694999985,139.90457510000124,up,1,0.5351144999985991,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
50,0,50,0,140.45403720000104,141.45322640000086,141.4699341000014,down,1,0.6491003000010096,-3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
51,0,51,0,142.1189900999998,143.1184202000004,143.1184202000004,up,1,0.6866500999967684,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
52,0,52,0,143.83415830000013,144.8334681999986,144.8334681999986,up,1,0.6671175000010408,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
53,0,53,0,145.5325741000015,146.53172450000056,146.53172450000056,up,1,0.6828354999997828,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
54,0,54,0,147.2310069999985,148.23009459999957,148.23009459999957,down,0,1.4152594999977737,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
55,0,55,0,149.66207519999807,150.6612395000011,150.6612395000011,down,1,0.6482207999979437,-3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
56,0,56,0,151.3272967999983,152.32654410000032,152.32654410000032,up,1,0.5877120999975887,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
57,0,57,0,152.9423956999999,153.9415412999988,153.95823110000129,up,1,0.6287449999981618,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
58,0,58,0,154.5906896000015,155.59053119999953,155.59053119999953,down,1,0.730261699998664,-2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
59,0,59,0,156.33921579999878,157.33825459999935,157.35521199999857,up,1,0.7899077999973088,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
60,0,60,0,158.15423590000137,159.1533933999999,159.1533933999999,up,0,1.216341299998021,-2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
