trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.05020188266799102,0.0008047999872360379,177.14820060000056,177.14820060000056,177.44781510002213,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.05020188266799102,0.0007850999827496707,179.52919900001143,179.52919900001143,179.82878160002292,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.05020188266799102,0.0008363999950233847,181.89369980001356,181.89369980001356,182.19324700001744,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.05023078951391974,0.0007814000127837062,184.3082878999994,184.3082878999994,184.60743150001508,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.05023078951391974,0.0005538999976124614,186.70545270000002,186.70545270000002,187.00555260002147,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,0.005,db,0.05023078951391974,0.0007408999954350293,189.10361200000625,189.10361200000625,189.40332959999796,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.05020188266799102,0.0007435999868903309,191.48509120001108,191.48509120001108,191.78452929999912,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,down,0.005,db,0.05020188266799102,0.0007607000006828457,193.81607280002208,193.81607280002208,,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,down,0.005,db,0.05020188266799102,0.0008717000018805265,196.09721730000456,196.09721730000456,196.39707780000754,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,down,0.005,db,0.05017299245739194,0.0008238999871537089,198.41169680000166,198.41169680000166,198.71091650001472,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,down,0.005,db,0.05017299245739194,0.0007309000066015869,200.79297050001333,200.79297050001333,201.0922891999944,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,down,0.005,db,0.05017299245739194,0.0008022999973036349,203.22392600000603,203.22392600000603,203.5234176000231,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,0.005,db,0.05020188266799102,0.0008600000001024455,205.65491870002006,205.65491870002006,205.9545296000142,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,0.005,db,0.05023078951391974,0.0008352000149898231,208.05270040000323,208.05270040000323,208.35235480000847,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,0.005,db,0.05023078951391974,0.0007111000013537705,210.5003314000205,210.5003314000205,210.8000589000003,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,up,0.005,db,0.05023078951391974,0.0008369999995920807,212.84844890001114,212.84844890001114,213.14793720000307,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,up,0.005,db,0.050259713004756915,0.0008418000070378184,215.2627746000071,215.2627746000071,215.56229060000624,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,up,0.005,db,0.05028865315008689,0.0007493000011891127,217.64394710000488,217.64394710000488,217.94361950000166,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,0.005,db,0.05028865315008689,0.000827599986223504,220.00840980000794,220.00840980000794,220.30787670001155,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,0.005,db,0.05028865315008689,0.0007679999980609864,222.37268510001013,222.37268510001013,222.6720706000051,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,down,0.005,db,0.050259713004756915,0.0008147000044118613,224.77044829999795,224.77044829999795,225.07016150001436,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,down,0.005,db,0.050259713004756915,0.0008238000154960901,227.2015967000043,227.2015967000043,227.5013772000093,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,down,0.005,db,0.050259713004756915,0.0008258000016212463,229.59947889999603,229.59947889999603,229.8989053000114,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,down,0.005,db,0.05023078951391974,0.0007540999795310199,231.96374999999534,231.96374999999534,232.26345320002292,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,down,0.005,db,0.05023078951391974,0.0007851000118535012,234.32845630001975,234.32845630001975,234.62808799999766,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,down,0.005,db,0.05023078951391974,0.0007444999937433749,236.7428413000016,236.7428413000016,237.04240020000725,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,down,0.005,db,0.05020188266799102,0.0007904000231064856,239.0905439000053,239.0905439000053,239.3901381000178,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,up,0.005,db,0.05023078951391974,0.0008437999931629747,241.4384318999946,241.4384318999946,241.7376176000107,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,up,0.005,db,0.05023078951391974,0.0006664000102318823,243.8197172000073,243.8197172000073,244.11883130000206,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,up,0.005,db,0.05023078951391974,0.0007525999972131103,246.23414539999794,246.23414539999794,246.53369690000545,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,down,0.005,db,0.05020188266799102,0.0008899999957066029,248.63177570002154,248.63177570002154,248.93133140000282,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,down,0.005,db,0.05020188266799102,0.0007405999931506813,251.02973910002038,251.02973910002038,251.32921340002213,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,down,0.005,db,0.05020188266799102,0.0008580000139772892,253.3942451000039,253.3942451000039,253.6933609000116,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
