61.1661 	EXP 	fixation: autoDraw = True
62.1712 	EXP 	fixation: autoDraw = False
62.1881 	EXP 	grating: autoDraw = True
62.1881 	EXP 	grating: tex = 'sin'
62.4876 	EXP 	grating: autoDraw = False
62.5735 	EXP 	window1: recordFrameIntervals = False
62.5749 	DATA 	Keypress: right
62.5877 	EXP 	fixation: autoDraw = False
62.5877 	EXP 	grating: autoDraw = False
62.5879 	EXP 	window1: recordFrameIntervals = False
63.5633 	EXP 	fixation: autoDraw = True
64.5688 	EXP 	fixation: autoDraw = False
64.5859 	EXP 	grating: autoDraw = True
64.5859 	EXP 	grating: tex = 'sin'
64.8853 	EXP 	grating: autoDraw = False
64.9880 	EXP 	window1: recordFrameIntervals = False
64.9896 	DATA 	Keypress: right
65.0019 	EXP 	fixation: autoDraw = False
65.0019 	EXP 	grating: autoDraw = False
65.0022 	EXP 	window1: recordFrameIntervals = False
65.9791 	EXP 	fixation: autoDraw = True
66.9834 	EXP 	fixation: autoDraw = False
67.0001 	EXP 	grating: autoDraw = True
67.0001 	EXP 	grating: tex = 'sin'
67.2997 	EXP 	grating: autoDraw = False
67.4357 	EXP 	window1: recordFrameIntervals = False
67.4372 	DATA 	Keypress: right
67.4497 	EXP 	fixation: autoDraw = False
67.4497 	EXP 	grating: autoDraw = False
67.4499 	EXP 	window1: recordFrameIntervals = False
68.4263 	EXP 	fixation: autoDraw = True
69.4311 	EXP 	fixation: autoDraw = False
69.4483 	EXP 	grating: autoDraw = True
69.4483 	EXP 	grating: tex = 'sin'
69.7477 	EXP 	grating: autoDraw = False
69.8666 	EXP 	window1: recordFrameIntervals = False
69.8681 	DATA 	Keypress: right
69.8808 	EXP 	fixation: autoDraw = False
69.8808 	EXP 	grating: autoDraw = False
69.8810 	EXP 	window1: recordFrameIntervals = False
70.8573 	EXP 	fixation: autoDraw = True
71.8622 	EXP 	fixation: autoDraw = False
71.8791 	EXP 	grating: autoDraw = True
71.8791 	EXP 	grating: tex = 'sin'
72.1786 	EXP 	grating: autoDraw = False
72.1814 	EXP 	window1: recordFrameIntervals = False
72.1828 	DATA 	Keypress: left
72.1953 	EXP 	fixation: autoDraw = False
72.1953 	EXP 	grating: autoDraw = False
72.1955 	EXP 	window1: recordFrameIntervals = False
73.1731 	EXP 	fixation: autoDraw = True
74.1766 	EXP 	fixation: autoDraw = False
74.1937 	EXP 	grating: autoDraw = True
74.1937 	EXP 	grating: tex = 'sin'
74.4795 	EXP 	window1: recordFrameIntervals = False
74.4808 	DATA 	Keypress: right
74.4931 	EXP 	grating: autoDraw = False
74.4931 	EXP 	fixation: autoDraw = False
74.4931 	EXP 	grating: autoDraw = False
74.4934 	EXP 	window1: recordFrameIntervals = False
75.4702 	EXP 	fixation: autoDraw = True
76.4746 	EXP 	fixation: autoDraw = False
76.4915 	EXP 	grating: autoDraw = True
76.4915 	EXP 	grating: tex = 'sin'
76.7911 	EXP 	grating: autoDraw = False
76.8435 	EXP 	window1: recordFrameIntervals = False
76.8448 	DATA 	Keypress: left
76.8576 	EXP 	fixation: autoDraw = False
76.8576 	EXP 	grating: autoDraw = False
76.8579 	EXP 	window1: recordFrameIntervals = False
77.8344 	EXP 	fixation: autoDraw = True
78.8392 	EXP 	fixation: autoDraw = False
78.8558 	EXP 	grating: autoDraw = True
78.8558 	EXP 	grating: tex = 'sin'
79.1553 	EXP 	grating: autoDraw = False
79.2085 	EXP 	window1: recordFrameIntervals = False
79.2101 	DATA 	Keypress: right
79.2220 	EXP 	fixation: autoDraw = False
79.2220 	EXP 	grating: autoDraw = False
79.2222 	EXP 	window1: recordFrameIntervals = False
80.1983 	EXP 	fixation: autoDraw = True
81.2035 	EXP 	fixation: autoDraw = False
81.2203 	EXP 	grating: autoDraw = True
81.2203 	EXP 	grating: tex = 'sin'
81.5199 	EXP 	grating: autoDraw = False
81.6237 	EXP 	window1: recordFrameIntervals = False
81.6264 	DATA 	Keypress: right
81.6364 	EXP 	fixation: autoDraw = False
81.6364 	EXP 	grating: autoDraw = False
81.6366 	EXP 	window1: recordFrameIntervals = False
82.6155 	EXP 	fixation: autoDraw = True
83.6179 	EXP 	fixation: autoDraw = False
83.6347 	EXP 	grating: autoDraw = True
83.6347 	EXP 	grating: tex = 'sin'
83.9344 	EXP 	grating: autoDraw = False
84.0033 	DATA 	Keypress: left
84.0204 	EXP 	window1: recordFrameIntervals = False
84.0344 	EXP 	fixation: autoDraw = False
84.0344 	EXP 	grating: autoDraw = False
84.0347 	EXP 	window1: recordFrameIntervals = False
85.0119 	EXP 	fixation: autoDraw = True
86.0156 	EXP 	fixation: autoDraw = False
86.0325 	EXP 	grating: autoDraw = True
86.0325 	EXP 	grating: tex = 'sin'
86.3322 	EXP 	grating: autoDraw = False
86.4014 	EXP 	window1: recordFrameIntervals = False
86.4029 	DATA 	Keypress: left
86.4155 	EXP 	fixation: autoDraw = False
86.4155 	EXP 	grating: autoDraw = False
86.4157 	EXP 	window1: recordFrameIntervals = False
87.3923 	EXP 	fixation: autoDraw = True
88.3970 	EXP 	fixation: autoDraw = False
88.4138 	EXP 	grating: autoDraw = True
88.4138 	EXP 	grating: tex = 'sin'
88.7128 	EXP 	grating: autoDraw = False
88.7488 	EXP 	window1: recordFrameIntervals = False
88.7500 	DATA 	Keypress: right
88.7630 	EXP 	fixation: autoDraw = False
88.7630 	EXP 	grating: autoDraw = False
88.7633 	EXP 	window1: recordFrameIntervals = False
89.7399 	EXP 	fixation: autoDraw = True
90.7446 	EXP 	fixation: autoDraw = False
90.7616 	EXP 	grating: autoDraw = True
90.7616 	EXP 	grating: tex = 'sin'
91.0610 	EXP 	grating: autoDraw = False
91.1636 	EXP 	window1: recordFrameIntervals = False
91.1650 	DATA 	Keypress: right
91.1774 	EXP 	fixation: autoDraw = False
91.1774 	EXP 	grating: autoDraw = False
91.1777 	EXP 	window1: recordFrameIntervals = False
92.1553 	EXP 	fixation: autoDraw = True
93.1591 	EXP 	fixation: autoDraw = False
93.1759 	EXP 	grating: autoDraw = True
93.1759 	EXP 	grating: tex = 'sin'
93.4755 	EXP 	grating: autoDraw = False
93.5617 	EXP 	window1: recordFrameIntervals = False
93.5631 	DATA 	Keypress: left
93.5753 	EXP 	fixation: autoDraw = False
93.5753 	EXP 	grating: autoDraw = False
93.5756 	EXP 	window1: recordFrameIntervals = False
94.5528 	EXP 	fixation: autoDraw = True
95.5570 	EXP 	fixation: autoDraw = False
95.5738 	EXP 	grating: autoDraw = True
95.5738 	EXP 	grating: tex = 'sin'
95.8731 	EXP 	grating: autoDraw = False
95.9250 	EXP 	window1: recordFrameIntervals = False
95.9260 	DATA 	Keypress: right
95.9395 	EXP 	fixation: autoDraw = False
95.9395 	EXP 	grating: autoDraw = False
95.9397 	EXP 	window1: recordFrameIntervals = False
96.9159 	EXP 	fixation: autoDraw = True
97.9212 	EXP 	fixation: autoDraw = False
97.9380 	EXP 	grating: autoDraw = True
97.9380 	EXP 	grating: tex = 'sin'
98.2377 	EXP 	grating: autoDraw = False
98.3237 	EXP 	window1: recordFrameIntervals = False
98.3251 	DATA 	Keypress: right
98.3375 	EXP 	fixation: autoDraw = False
98.3375 	EXP 	grating: autoDraw = False
98.3377 	EXP 	window1: recordFrameIntervals = False
99.3139 	EXP 	fixation: autoDraw = True
100.3191 	EXP 	fixation: autoDraw = False
100.3360 	EXP 	grating: autoDraw = True
100.3360 	EXP 	grating: tex = 'sin'
100.6358 	EXP 	grating: autoDraw = False
100.7374 	EXP 	window1: recordFrameIntervals = False
100.7385 	DATA 	Keypress: right
100.7520 	EXP 	fixation: autoDraw = False
100.7520 	EXP 	grating: autoDraw = False
100.7523 	EXP 	window1: recordFrameIntervals = False
101.7280 	EXP 	fixation: autoDraw = True
102.7338 	EXP 	fixation: autoDraw = False
102.7504 	EXP 	grating: autoDraw = True
102.7504 	EXP 	grating: tex = 'sin'
103.0500 	EXP 	grating: autoDraw = False
103.1357 	EXP 	window1: recordFrameIntervals = False
103.1372 	DATA 	Keypress: right
103.1498 	EXP 	fixation: autoDraw = False
103.1498 	EXP 	grating: autoDraw = False
103.1501 	EXP 	window1: recordFrameIntervals = False
104.1269 	EXP 	fixation: autoDraw = True
105.1314 	EXP 	fixation: autoDraw = False
105.1482 	EXP 	grating: autoDraw = True
105.1482 	EXP 	grating: tex = 'sin'
105.4476 	EXP 	grating: autoDraw = False
105.5519 	EXP 	window1: recordFrameIntervals = False
105.5547 	DATA 	Keypress: right
105.5644 	EXP 	fixation: autoDraw = False
105.5644 	EXP 	grating: autoDraw = False
105.5646 	EXP 	window1: recordFrameIntervals = False
106.5424 	EXP 	fixation: autoDraw = True
107.5459 	EXP 	fixation: autoDraw = False
107.5628 	EXP 	grating: autoDraw = True
107.5628 	EXP 	grating: tex = 'sin'
107.8623 	EXP 	grating: autoDraw = False
107.9148 	EXP 	window1: recordFrameIntervals = False
107.9164 	DATA 	Keypress: right
107.9288 	EXP 	fixation: autoDraw = False
107.9288 	EXP 	grating: autoDraw = False
107.9290 	EXP 	window1: recordFrameIntervals = False
108.9061 	EXP 	fixation: autoDraw = True
109.9104 	EXP 	fixation: autoDraw = False
109.9270 	EXP 	grating: autoDraw = True
109.9270 	EXP 	grating: tex = 'sin'
110.2266 	EXP 	grating: autoDraw = False
110.3292 	EXP 	window1: recordFrameIntervals = False
110.3308 	DATA 	Keypress: left
110.3433 	EXP 	fixation: autoDraw = False
110.3433 	EXP 	grating: autoDraw = False
110.3435 	EXP 	window1: recordFrameIntervals = False
111.3205 	EXP 	fixation: autoDraw = True
112.3246 	EXP 	fixation: autoDraw = False
112.3416 	EXP 	grating: autoDraw = True
112.3416 	EXP 	grating: tex = 'sin'
112.6411 	EXP 	grating: autoDraw = False
112.6767 	EXP 	window1: recordFrameIntervals = False
112.6782 	DATA 	Keypress: right
112.6907 	EXP 	fixation: autoDraw = False
112.6907 	EXP 	grating: autoDraw = False
112.6910 	EXP 	window1: recordFrameIntervals = False
113.6679 	EXP 	fixation: autoDraw = True
114.6723 	EXP 	fixation: autoDraw = False
114.6891 	EXP 	grating: autoDraw = True
114.6891 	EXP 	grating: tex = 'sin'
114.9889 	EXP 	grating: autoDraw = False
115.1246 	EXP 	window1: recordFrameIntervals = False
115.1260 	DATA 	Keypress: right
115.1388 	EXP 	fixation: autoDraw = False
115.1388 	EXP 	grating: autoDraw = False
115.1390 	EXP 	window1: recordFrameIntervals = False
116.1151 	EXP 	fixation: autoDraw = True
117.1203 	EXP 	fixation: autoDraw = False
117.1374 	EXP 	grating: autoDraw = True
117.1374 	EXP 	grating: tex = 'sin'
117.4368 	EXP 	grating: autoDraw = False
117.5894 	EXP 	window1: recordFrameIntervals = False
117.5908 	DATA 	Keypress: left
117.6031 	EXP 	fixation: autoDraw = False
117.6031 	EXP 	grating: autoDraw = False
117.6034 	EXP 	window1: recordFrameIntervals = False
118.5803 	EXP 	fixation: autoDraw = True
119.5847 	EXP 	fixation: autoDraw = False
119.6014 	EXP 	grating: autoDraw = True
119.6014 	EXP 	grating: tex = 'sin'
119.9009 	EXP 	grating: autoDraw = False
120.0367 	EXP 	window1: recordFrameIntervals = False
120.0381 	DATA 	Keypress: left
120.0510 	EXP 	fixation: autoDraw = False
120.0510 	EXP 	grating: autoDraw = False
120.0512 	EXP 	window1: recordFrameIntervals = False
121.0277 	EXP 	fixation: autoDraw = True
122.0325 	EXP 	fixation: autoDraw = False
122.0490 	EXP 	grating: autoDraw = True
122.0490 	EXP 	grating: tex = 'sin'
122.3488 	EXP 	grating: autoDraw = False
122.4346 	EXP 	window1: recordFrameIntervals = False
122.4359 	DATA 	Keypress: right
122.4488 	EXP 	fixation: autoDraw = False
122.4488 	EXP 	grating: autoDraw = False
122.4490 	EXP 	window1: recordFrameIntervals = False
123.4251 	EXP 	fixation: autoDraw = True
124.4301 	EXP 	fixation: autoDraw = False
124.4470 	EXP 	grating: autoDraw = True
124.4470 	EXP 	grating: tex = 'sin'
124.7464 	EXP 	grating: autoDraw = False
124.8155 	EXP 	window1: recordFrameIntervals = False
124.8168 	DATA 	Keypress: right
124.8298 	EXP 	fixation: autoDraw = False
124.8298 	EXP 	grating: autoDraw = False
124.8300 	EXP 	window1: recordFrameIntervals = False
125.8058 	EXP 	fixation: autoDraw = True
126.8113 	EXP 	fixation: autoDraw = False
126.8282 	EXP 	grating: autoDraw = True
126.8282 	EXP 	grating: tex = 'sin'
127.1277 	EXP 	grating: autoDraw = False
127.2302 	EXP 	window1: recordFrameIntervals = False
127.2317 	DATA 	Keypress: right
127.2443 	EXP 	fixation: autoDraw = False
127.2443 	EXP 	grating: autoDraw = False
127.2445 	EXP 	window1: recordFrameIntervals = False
128.2219 	EXP 	fixation: autoDraw = True
129.2256 	EXP 	fixation: autoDraw = False
129.2426 	EXP 	grating: autoDraw = True
129.2426 	EXP 	grating: tex = 'sin'
129.5421 	EXP 	grating: autoDraw = False
129.6115 	EXP 	window1: recordFrameIntervals = False
129.6129 	DATA 	Keypress: right
129.6254 	EXP 	fixation: autoDraw = False
129.6254 	EXP 	grating: autoDraw = False
129.6256 	EXP 	window1: recordFrameIntervals = False
130.6033 	EXP 	fixation: autoDraw = True
131.6066 	EXP 	fixation: autoDraw = False
131.6237 	EXP 	grating: autoDraw = True
131.6237 	EXP 	grating: tex = 'sin'
131.9232 	EXP 	grating: autoDraw = False
131.9426 	EXP 	window1: recordFrameIntervals = False
131.9441 	DATA 	Keypress: right
131.9566 	EXP 	fixation: autoDraw = False
131.9566 	EXP 	grating: autoDraw = False
131.9568 	EXP 	window1: recordFrameIntervals = False
132.9348 	EXP 	fixation: autoDraw = True
133.9380 	EXP 	fixation: autoDraw = False
133.9548 	EXP 	grating: autoDraw = True
133.9548 	EXP 	grating: tex = 'sin'
134.2543 	EXP 	grating: autoDraw = False
134.3691 	EXP 	window1: recordFrameIntervals = False
134.3710 	DATA 	Keypress: right
134.3735 	EXP 	fixation: autoDraw = False
134.3735 	EXP 	grating: autoDraw = False
134.3738 	EXP 	window1: recordFrameIntervals = False
135.3609 	EXP 	fixation: autoDraw = True
136.3692 	EXP 	fixation: autoDraw = False
136.3692 	EXP 	grating: autoDraw = True
136.3692 	EXP 	grating: tex = 'sin'
136.6686 	EXP 	grating: autoDraw = False
136.7541 	EXP 	window1: recordFrameIntervals = False
136.7554 	DATA 	Keypress: right
136.7688 	EXP 	fixation: autoDraw = False
136.7688 	EXP 	grating: autoDraw = False
136.7690 	EXP 	window1: recordFrameIntervals = False
137.7453 	EXP 	fixation: autoDraw = True
138.7502 	EXP 	fixation: autoDraw = False
138.7671 	EXP 	grating: autoDraw = True
138.7671 	EXP 	grating: tex = 'sin'
139.0665 	EXP 	grating: autoDraw = False
139.1523 	EXP 	window1: recordFrameIntervals = False
139.1537 	DATA 	Keypress: left
139.1663 	EXP 	fixation: autoDraw = False
139.1663 	EXP 	grating: autoDraw = False
139.1666 	EXP 	window1: recordFrameIntervals = False
140.1441 	EXP 	fixation: autoDraw = True
141.1483 	EXP 	fixation: autoDraw = False
141.1648 	EXP 	grating: autoDraw = True
141.1648 	EXP 	grating: tex = 'sin'
141.4644 	EXP 	grating: autoDraw = False
141.5503 	EXP 	window1: recordFrameIntervals = False
141.5517 	DATA 	Keypress: right
141.5642 	EXP 	fixation: autoDraw = False
141.5642 	EXP 	grating: autoDraw = False
141.5645 	EXP 	window1: recordFrameIntervals = False
142.5430 	EXP 	fixation: autoDraw = True
143.5456 	EXP 	fixation: autoDraw = False
143.5626 	EXP 	grating: autoDraw = True
143.5626 	EXP 	grating: tex = 'sin'
143.8621 	EXP 	grating: autoDraw = False
143.9483 	EXP 	window1: recordFrameIntervals = False
143.9499 	DATA 	Keypress: left
143.9619 	EXP 	fixation: autoDraw = False
143.9619 	EXP 	grating: autoDraw = False
143.9622 	EXP 	window1: recordFrameIntervals = False
144.9408 	EXP 	fixation: autoDraw = True
145.9436 	EXP 	fixation: autoDraw = False
145.9604 	EXP 	grating: autoDraw = True
145.9604 	EXP 	grating: tex = 'sin'
146.2600 	EXP 	grating: autoDraw = False
146.4457 	EXP 	window1: recordFrameIntervals = False
146.4474 	DATA 	Keypress: left
146.4598 	EXP 	fixation: autoDraw = False
146.4598 	EXP 	grating: autoDraw = False
146.4601 	EXP 	window1: recordFrameIntervals = False
147.4361 	EXP 	fixation: autoDraw = True
148.4413 	EXP 	fixation: autoDraw = False
148.4580 	EXP 	grating: autoDraw = True
