trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
92,0,92,0,5,268.7320388999942,268.7320388999942,0.015488899996853434,[-0.28425925925925927],[0.24444444444444444],[1],[0],[0],[1.8127263000060339],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
93,0,93,0,10,270.5774492000055,270.5774492000055,0.026724700001068413,[-0.12129629629629629],[-0.48333333333333334],[1],[0],[0],[2.0354269000090426],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
94,0,94,0,10,272.64493290000246,272.64493290000246,0.028844200001913123,[0.2740740740740741],[0.43425925925925923],[1],[0],[0],[1.9488280000077793],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
95,0,95,0,5,274.60707060000277,274.60707060000277,0.013847199996234849,[0.09259259259259259],[0.024074074074074074],[1],[0],[0],[1.5158917999942787],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
96,0,96,0,10,276.1552306999947,276.1552306999947,0.025836700006038882,[0.2611111111111111],[0.15648148148148147],[1],[0],[0],[1.4033519000076922],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
97,0,97,0,5,277.5721947999991,277.5721947999991,0.015228499993099831,[-0.010185185185185186],[0.2759259259259259],[1],[0],[0],[1.5810299000004306],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
98,0,98,0,10,279.1859489000053,279.1859489000053,0.025698600002215244,[0.3037037037037037],[0.06759259259259259],[1],[0],[0],[1.7199063999869395],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
99,0,99,0,5,280.91917880000256,280.91917880000256,0.014413200013223104,[-0.1935185185185185],[0.03611111111111111],[1],[0],[0],[1.9137415000004694],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
100,0,100,0,5,282.85241900000256,282.85241900000256,0.016456199999083765,[-0.2953703703703704],[-0.30925925925925923],[1],[0],[0],[1.3964653000002727],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
101,0,101,0,10,284.2873920999991,284.2873920999991,0.03132900000491645,[0.3175925925925926],[0.06851851851851852],[1],[0],[0],[1.348319700002321],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
102,0,102,0,10,285.66366020000714,285.66366020000714,0.026270900008967146,[0.19814814814814816],[0.09814814814814815],[1],[0],[0],[1.25338210001064],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
103,0,103,0,5,286.93022120000387,286.93022120000387,0.013644400009070523,[-0.18333333333333332],[0.07222222222222222],[1],[0],[0],[1.465012199987541],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
104,0,104,0,5,288.41666790000454,288.41666790000454,0.018350700003793463,[-0.2175925925925926],[-0.004629629629629629],[1],[0],[0],[1.2775154999981169],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
105,0,105,0,5,289.7169417999976,289.7169417999976,0.018016500005614944,[-0.4351851851851852],[-0.27037037037037037],[1],[0],[0],[1.726606800002628],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
106,0,106,0,5,291.46015709999483,291.46015709999483,0.015492000005906448,[0.06111111111111111],[-0.10925925925925926],[1],[0],[0],[1.4970476000016788],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
107,0,107,0,10,293.00069810000423,293.00069810000423,0.034905299995443784,[-0.1712962962962963],[0.37037037037037035],[1],[0],[0],[1.6763665000034962],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
108,0,108,0,5,294.6926892000047,294.6926892000047,0.01767689999542199,[-0.4722222222222222],[-0.17592592592592593],[1],[0],[0],[1.7113504000008106],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
109,0,109,0,5,296.43115420000686,296.43115420000686,0.022732099998393096,[0.45092592592592595],[0.26851851851851855],[1],[0],[0],[1.8211216000054264],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
110,0,110,0,5,298.2684065999929,298.2684065999929,0.014593400002922863,[0.35462962962962963],[-0.15092592592592594],[1],[0],[0],[1.498632800008636],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
111,0,111,0,5,299.7895787000016,299.7895787000016,0.018099599998095073,[-0.18333333333333332],[0.1037037037037037],[1],[0],[0],[1.5276607999985572],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
112,0,112,0,10,301.363878499993,301.363878499993,0.03602329999557696,[-0.17592592592592593],[-0.17777777777777778],[1],[0],[0],[1.5574032999866176],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
113,0,113,0,5,302.9414140000008,302.9414140000008,0.019995599999674596,[0.17222222222222222],[-0.4203703703703704],[1],[0],[0],[1.6573376000014832],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
114,0,114,0,5,304.61360830000194,304.61360830000194,0.013012499999604188,[-0.08611111111111111],[-0.19166666666666668],[1],[0],[0],[1.365454899991164],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
115,0,115,0,5,305.9957979000028,305.9957979000028,0.014859500006423332,[-0.025925925925925925],[0.15092592592592594],[1],[0],[0],[1.4979284000000916],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
116,0,116,0,10,307.5259242000029,307.5259242000029,0.024476200007484294,[-0.15555555555555556],[0.30277777777777776],[1],[0],[0],[1.7706283000006806],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
117,0,117,0,10,309.3328823000047,309.3328823000047,0.03204239999467973,[0.37037037037037035],[0.32685185185185184],[1],[0],[0],[1.7301967999956105],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
118,0,118,0,10,311.09696549999353,311.09696549999353,0.03316900000208989,[-0.38333333333333336],[0.30833333333333335],[1],[0],[0],[1.7289556000032462],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
119,0,119,0,5,312.84137900000496,312.84137900000496,0.014532200002577156,[-0.08703703703703704],[0.34444444444444444],[1],[0],[0],[1.3488719000015408],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
120,0,120,0,5,314.20484679999936,314.20484679999936,0.0143205000058515,[-0.47962962962962963],[0.08796296296296297],[1],[0],[0],[1.7472402999992482],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
121,0,121,0,5,315.9679920000053,315.9679920000053,0.013107399994623847,[0.4],[0.2916666666666667],[1],[0],[0],[1.7497930999961682],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
122,0,122,0,5,317.7370798000047,317.7370798000047,0.015670099994167686,[-0.18703703703703703],[0.05277777777777778],[1],[0],[0],[1.5957376000005752],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
123,0,123,0,5,319.35659979999764,319.35659979999764,0.018880899995565414,[0.1111111111111111],[0.48518518518518516],[1],[0],[0],[1.6424955999973463],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
124,0,124,0,5,321.0140212999977,321.0140212999977,0.013589500013040379,[0.21296296296296297],[-0.3851851851851852],[1],[0],[0],[1.6327075000008335],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
125,0,125,0,5,322.6632124000025,322.6632124000025,0.01359529999899678,[0.10555555555555556],[0.27037037037037037],[1],[0],[0],[1.5815672000026098],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
126,0,126,0,10,324.2776554000011,324.2776554000011,0.027077300008386374,[0.012962962962962963],[-0.3851851851851852],[1],[0],[0],[1.7349691000126768],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
127,0,127,0,5,326.0271778000024,326.0271778000024,0.01449230000434909,[-0.45092592592592595],[0.1814814814814815],[1],[0],[0],[1.6139591000101063],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
128,0,128,0,5,327.6570384999941,327.6570384999941,0.013670700005604886,[-0.20462962962962963],[-0.005555555555555556],[1],[0],[0],[1.3996497000043746],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
129,0,129,0,10,329.0887150000053,329.0887150000053,0.02522049999970477,[-0.14074074074074075],[0.11666666666666667],[1],[0],[0],[1.387476300005801],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
130,0,130,0,10,330.5313851999963,330.5313851999963,0.04371669999090955,[-0.032407407407407406],[-0.2740740740740741],[1],[0],[0],[1.6661125999962678],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
131,0,131,0,10,332.2219632000051,332.2219632000051,0.02765569998882711,[0.07592592592592592],[0.3824074074074074],[1],[0],[0],[1.6514495000010356],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
132,0,132,0,10,333.91159020000487,333.91159020000487,0.03436089999740943,[-0.175],[-0.18888888888888888],[1],[0],[0],[1.4449269000033382],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
133,0,133,0,10,335.385111399999,335.385111399999,0.025976899996749125,[0.29074074074074074],[-0.4444444444444444],[1],[0],[0],[2.3191323000064585],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
